path,cells,dims_match,header_exact,byte_exact_full,diff_全部cell(含浮点),diff_pathing(去浮点),cosmetic_wall_void(边界浮点),cell_match%,pathing_match%,w2W,W2w,w2V,V2w,status
CATACOMB\1X1NSW\1X1_NSW_PB_A.LAYOUT,69025,True,True,False,354,67,287,99.4871,99.9029,60,3,0,4,ok
GENERIC_CAVE\1X1NEW\1X1_NEW_BB_A.LAYOUT,82775,True,True,False,354,239,115,99.5723,99.7113,65,135,0,39,ok
ACT3_Z2\1X1_OPEN_N0S0E0W0_LANDMARK_OASIS_R\1X1_OPEN_N0S0E0W0_LANDMARK_OASIS_R_PB_A.LAYOUT,62750,True,True,False,353,299,54,99.4375,99.5235,23,172,0,104,ok
ESTHSHRINE\1X1EW\1X1_EW_LM_A.LAYOUT,67725,True,True,False,353,184,169,99.4788,99.7283,62,122,0,0,ok
ACT1\1X1_OPEN_N0S4E4W0_WRIVER_SE\1X1_OPEN_N0S4E4W0_WRIVER_SE_JT_B.LAYOUT,90300,True,True,False,353,273,80,99.6091,99.6977,89,163,0,21,ok
ACT1\1X1_OPEN_N4S4E0W0_WRIVER_NS\1X1_OPEN_N4S4E0W0_WRIVER_NS_LM_A.LAYOUT,90300,True,True,False,352,180,172,99.6102,99.8007,40,79,0,61,ok
NETHER\1X1EW\1X1_EW_LM_A.LAYOUT,60300,True,True,False,351,301,50,99.4179,99.5008,5,263,0,33,ok
ACT1\1X1_OPEN_N0S0E4W4_WRIVER_EW\1X1_OPEN_N0S0E4W4_WRIVER_EW_JT_A.LAYOUT,90300,True,True,False,351,246,105,99.6113,99.7276,64,155,0,27,ok
ACT1\1X1_CLIFF_N1S1E0\1X1_CLIFF_N1S1E0_LM_B.LAYOUT,82800,True,True,False,349,188,161,99.5785,99.7729,64,98,0,26,ok
ACT1\1X1_CONVEX_N2S0E1W0\1X1_CONVEX_N2S0E1W0_PB_A.LAYOUT,105625,True,True,False,347,175,172,99.6715,99.8343,44,113,1,17,ok
ACT1\1X1_CLIFF_S0E1W1\1X1_CLIFF_S0E1W1_JT_A.LAYOUT,67725,True,True,False,345,169,176,99.4906,99.7505,39,130,0,0,ok
ESTHSHRINE\1X1EW\1X1_EW_JT_A.LAYOUT,60501,True,True,False,343,144,199,99.4331,99.7620,53,91,0,0,ok
ESTHSHRINE\1X1NE\1X1_NE_LM_A.LAYOUT,56475,True,True,False,342,317,25,99.3944,99.4387,215,100,0,2,ok
ACT1\1X1_OPEN_N0S0E0W0\1X1_OPEN_N0S0E0W0_JT_B.LAYOUT,90300,True,True,False,341,276,65,99.6224,99.6944,108,150,0,18,ok
ACT2_Z2\1X1_MESA_N0S5E5W0\1X1MESA_N0S5E5W0_PB_A.LAYOUT,62750,True,True,False,340,246,94,99.4582,99.6080,90,105,0,51,ok
ACT2_Z1\TEMPLATES\1X1_CONCAVE_N2W2_SPECIAL\1X1_CONCAVE_N2W2_TEMPLATE_SPECIAL.LAYOUT,62150,True,True,False,339,182,157,99.4545,99.7072,167,10,0,5,ok
ACT1\1X1_CLIFF_S0E1W1\1X1_CLIFF_S0E1W1_BB_A.LAYOUT,75250,True,True,False,339,154,185,99.5495,99.7953,57,43,0,54,ok
ACT2_Z2\1X1_OPEN_N0S0E0W0_LAKE_NW_SW\1X1OPEN_N0S0E0W0_LAKE_NW_SW_BB_A.LAYOUT,62750,True,True,False,338,338,0,99.4614,99.4614,38,170,0,130,ok
ACT2_Z1\1X1_OPEN_N0S0E0W0\1X1_OPEN_N0S0E0W0_LM_A.LAYOUT,62750,True,True,False,337,336,1,99.4629,99.4645,97,171,1,67,ok
ACT2_Z2\TEMPLATES\1X1_CONCAVE_N2W2_LAKE_SW_SE_LANDMARK_WITHERWAYS\1X1CONCAVE_N2W2_LAKE_SW_SE_LANDMARK_WITHERWAYS_TEMPLATE.LAYOUT,75000,True,True,False,337,329,8,99.5507,99.5613,243,20,0,66,ok
ACT1\1X1_OPEN_N3S3E0W0_WROAD_NS\1X1_OPEN_N3S3E0W0_WROAD_NS_PB_A.LAYOUT,90300,True,True,False,337,335,2,99.6268,99.6290,165,170,0,0,ok
GENERIC_CAVE\1X1NW_MUSTPLACE\1X1_NW_MUSTPLACE_LM_A.LAYOUT,82775,True,True,False,336,131,205,99.5941,99.8417,49,82,0,0,ok
ACT2_Z1\1X1_WALL_S0E1W1\1X1_WALL_S0E1W1_BB_A.LAYOUT,62750,True,True,False,334,298,36,99.4677,99.5251,19,224,0,55,ok
ACT1\1X1_WALL_N0E2W2\1X1_WALL_N0E2W2_PB_C.LAYOUT,82775,True,True,False,334,141,193,99.5965,99.8297,40,101,0,0,ok
ACT1\1X1_OPEN_N0S0E0W0\1X1_OPEN_N0S0E0W0_PB_C.LAYOUT,90300,True,True,False,334,334,0,99.6301,99.6301,77,257,0,0,ok
NETHER\1X1SE\1X1_SE_LM_A.LAYOUT,81575,True,True,False,333,275,58,99.5918,99.6629,40,158,0,77,ok
ACT2_Z2\1X1_CONCAVE_N1E2_LAKE_SW_SE\1X1CONCAVE_N1E2_SW_SE_LAKE_PB_A.LAYOUT,89976,True,True,False,333,233,100,99.6299,99.7410,80,70,0,83,ok
ACT2_Z1\1X1_WALL_N2S2W0_SPECIAL\1X1_WALL_N2S2_JT_A_SPECIAL.LAYOUT,75900,True,True,False,332,300,32,99.5626,99.6047,124,156,2,18,ok
ACT1\1X1_OPEN_N0S4E0W4_WRIVER_SW\1X1_OPEN_N0S4E0W4_WRIVER_SW_JT_A.LAYOUT,90300,True,True,False,332,231,101,99.6323,99.7442,76,115,0,40,ok
ESTHSHRINE\1X1ENTRANCE_N\1X1_ENTRANCE_N_PB_A.LAYOUT,26576,True,True,False,330,156,174,98.7583,99.4130,48,91,3,14,ok
ACT2_Z1\1X1_CONCAVE_S1E1_LANDMARK_FORSAKEN_SPECIAL\1X1_CONCAVE_S1E1_FORSAKENVAULT_BB_LANDMARK_SPECIAL.LAYOUT,87750,True,True,False,329,234,95,99.6251,99.7333,18,198,2,16,ok
ESTHSHRINE\1X1ENTRANCE_S\1X1_ENTRANCE_S_ABANDONEDCITY_LM_A.LAYOUT,41250,True,True,False,328,143,185,99.2048,99.6533,59,83,0,1,ok
ACT2_Z2\1X1_MESA_N5S0E0W0\1X1MESA_N5S0E0W0_PB_A.LAYOUT,62750,True,True,False,328,309,19,99.4773,99.5076,159,113,0,37,ok
